topic_id,relationship,scene,surface_conflict,hidden_need,hook,visual_action,mentor_mode,ending_type,source,status,metrics,working_title,protagonist,concrete_time,location,key_object
T001,family,"周二22:40，阿迟在便利店外长椅点开妈妈发来的体检报告，语音却只说‘别担心，记得吃饭’",妈妈回避报告里的异常项，阿迟追问后又撤回,阿迟想被允许担心也想知道真实情况,"她发来三页报告，只说别担心。",阿迟把手机扣下又翻回来，周叔拧住杯盖没说完,witness_then_question,rephrased_request,original_fiction,pilot_ready,{},《她叫我别担心的时候》,achi,周二22:40,榕树长椅,手机里的体检报告
T002,romance,"周六17:20，搬家纸箱堆在单元门口，对方只发消息问‘哪箱先搬’，没回应阿迟刚说的‘我有点怕住一起’",两人只谈搬运顺序不谈同居焦虑,阿迟想确认害怕不会被当成反悔,"箱子都进门了，那句‘我有点怕’呢？",阿迟把抬起的厨房箱放回门外，自己编辑一条只谈暂停规则的消息,misread_then_correct,rephrased_request,original_fiction,pilot_scripted,{},《箱子搬进去以前》,achi,周六17:20,单元门口,纯色圆点搬家纸箱
T003,friendship,"周五19:05，面馆两碗面已经上桌，老朋友第三次临时取消，只在群聊发了一个抱歉表情",阿迟想追问又怕显得计较,阿迟想知道自己是否还在对方的优先顺序里,"面已经坨了，还要回‘没事’吗？",阿迟删掉没事，把对面未拆的筷子放回筷筒,mutual_uncertainty,boundary_without_verdict,original_fiction,pilot_scripted,{},《面坨了以后，还回没事吗》,achi,周五19:05,社区面馆,对面未动的面
T004,self,"周日22:18，阿迟在出租屋水槽反复洗明天带去公司的杯子，明明已经洗净还不肯关水",周末结束前停不下来，靠准备工作压住焦虑,阿迟想得到不用先证明辛苦也能休息的许可,"杯子早就干净了，他还在洗。",阿迟自己关水，把杯子放上沥水架后不再拿回来,practical_nudge_with_consent,small_action,original_fiction,pilot_ready,{},《杯子已经洗干净了》,achi,周日22:18,阿迟出租屋水槽边,公司杯
T005,family,"周三18:32，阿迟刚在公司群收到晋升通知，父亲的32秒语音从头到尾只问老家空调遥控器放哪",父子都绕开想说的认可,阿迟想听一句具体的看见而不是功能性问候,"他问了遥控器，没问我今天为什么高兴。",阿迟把晋升截图缩小，周叔在钥匙串里找错一把,elder_conflict,repair_attempt,original_fiction,pilot_ready,{},《那条语音只问遥控器》,achi,周三18:32,快递架旁,32秒语音
T006,romance,"周四21:10，阿迟在便利店外挑周末短途车次，对方第四次只回‘你决定就好’，付款页一直没点",两个人的共同安排总由阿迟选择并承担选错的后果,阿迟想要对方参与决定而不只是表示许可,"他说都可以，阿迟反而不敢点付款。",阿迟锁住无字付款页，改发一条二选一的具体询问,misread_then_correct,rephrased_request,original_fiction,pilot_ready,{},《都可以，为什么更难选》,achi,周四21:10,便利店外榕树长椅,无字车次选择页
T007,friendship,"周六09:12，高铁站电子票显示老朋友把返程改早了两小时，却没在三人小群里说",旅行最后半天被悄悄取消,阿迟想允许关系变淡但不想假装没看见,"车次改了，群里还停在‘下午见’。",阿迟把电子票亮度调暗，周叔把保温杯从空座拿开,witness_then_question,open_unresolved,original_fiction,pilot_ready,{},《他把返程改早了两小时》,achi,周六09:12,社区到车站的公交站,电子车票
T008,self,"周一07:15，阿迟发着低烧坐在床沿，把请假消息写了三遍又删掉，闹钟每隔五分钟响一次",阿迟不敢为普通不适请一天假,阿迟想练习在不濒临崩溃时也提出照顾自己的请求,"请假两个字，他删了三遍。",阿迟按掉第四个闹钟，琴姨把装药的纸袋放远不替他决定,practical_nudge_with_consent,small_action,original_fiction,pilot_ready,{},《还没倒下，能不能先请假》,achi,周一07:15,阿迟床边,未发送的请假消息
T009,family,"周日16:45，父母寄来的水果箱在快递架放了五天，底部已经渗湿，阿迟每天经过都没拿",关心以不合时宜的包裹抵达，阿迟又烦又愧疚,阿迟想拒绝数量而不否定父母的心意,"水果箱渗水五天了，他为什么一直没拿？",阿迟收下还能吃的水果，并亲自发出下次寄前先问的边界,misread_then_correct,boundary_without_verdict,original_fiction,pilot_scripted,{},《那箱水果，他躲了五天》,achi,周日16:45,社区快递架,渗湿的水果箱
T010,romance,"周二20:06，出租屋餐桌上两碗饭都凉了，对方第三次发‘你先吃’，阿迟还是把另一双筷子摆好",加班消息看似体贴却让等待没有终点,阿迟想要明确计划而不是继续猜今晚算不算一起吃,"他说你先吃，阿迟却多摆了一双筷子。",阿迟把第二双筷子收进又拿出，周叔说完经验被琴姨打断,misread_then_correct,rephrased_request,original_fiction,pilot_ready,{},《你先吃，到底要等多久》,achi,周二20:06,阿迟餐桌,第二双筷子
T011,friendship,"周六14:30，阿迟在缝补摊收到多年没深聊的旧友婚礼邀请，对方紧接着问他能不能临时当主持",重逢被一个任务抢先占满,阿迟想先确认两人的关系还剩什么再决定帮不帮,"请柬刚打开，下一句就是‘能救个场吗？’",阿迟沿原折痕合上请柬，把手机屏幕朝下放在桌边,mutual_uncertainty,open_unresolved,original_fiction,pilot_ready,{},《请柬后面跟着一个请求》,achi,周六14:30,琴姨缝补摊,无名字样的婚礼请柬
T012,self,"周五18:50，部门复盘会上被点名表扬后，阿迟把会议截图存进收藏，却在回家电梯里立刻开始找自己做错的地方",好消息一出现就被自我挑错盖住,阿迟想让高兴停留十分钟而不必马上证明配得上,"刚被表扬，他为什么马上开始找错？",阿迟把手机翻面放在腿上，十分钟内不再打开复盘表,silent_company,small_action,original_fiction,pilot_scripted,{},《先高兴十分钟》,achi,周五18:50,单元电梯口,会议截图
